"row ID","Prediction (Result)"
"Row139","phishy"
"Row140","phishy"
"Row141","phishy"
"Row142","legitimate"
"Row143","suspect"
"Row144","legitimate"
"Row145","phishy"
"Row146","phishy"
"Row147","legitimate"
"Row148","legitimate"
"Row149","suspect"
"Row150","phishy"
"Row151","legitimate"
"Row152","legitimate"
"Row153","legitimate"
"Row154","legitimate"
"Row155","suspect"
"Row156","legitimate"
"Row157","phishy"
"Row158","suspect"
"Row159","legitimate"
"Row160","phishy"
"Row161","legitimate"
"Row162","legitimate"
"Row163","legitimate"
"Row164","legitimate"
"Row165","phishy"
"Row166","phishy"
"Row167","legitimate"
"Row168","legitimate"
"Row169","legitimate"
"Row170","phishy"
"Row171","legitimate"
"Row172","legitimate"
"Row173","legitimate"
"Row174","suspect"
"Row175","phishy"
"Row176","legitimate"
"Row177","phishy"
"Row178","suspect"
"Row179","phishy"
"Row180","legitimate"
"Row181","suspect"
"Row182","phishy"
"Row183","legitimate"
"Row184","phishy"
"Row185","legitimate"
"Row186","phishy"
"Row187","phishy"
"Row188","suspect"
"Row189","legitimate"
"Row190","legitimate"
"Row191","phishy"
"Row192","phishy"
"Row193","phishy"
"Row194","legitimate"
"Row195","phishy"
"Row196","phishy"
"Row197","phishy"
"Row198","legitimate"
"Row199","phishy"
"Row200","phishy"
"Row201","phishy"
"Row202","legitimate"
"Row203","phishy"
"Row204","phishy"
"Row205","phishy"
"Row206","phishy"
"Row207","phishy"
"Row208","legitimate"
"Row209","legitimate"
"Row210","phishy"
"Row211","legitimate"
"Row212","phishy"
"Row213","phishy"
"Row214","legitimate"
"Row215","suspect"
"Row216","phishy"
"Row217","phishy"
"Row218","phishy"
"Row219","legitimate"
"Row220","phishy"
"Row221","legitimate"
"Row222","legitimate"
"Row223","phishy"
"Row224","phishy"
"Row225","phishy"
"Row226","phishy"
"Row227","legitimate"
"Row228","phishy"
"Row229","suspect"
"Row230","phishy"
"Row231","legitimate"
"Row232","legitimate"
"Row233","phishy"
"Row234","phishy"
"Row235","legitimate"
"Row236","phishy"
"Row237","phishy"
"Row238","phishy"
"Row239","phishy"
"Row240","phishy"
"Row241","suspect"
"Row242","legitimate"
"Row243","phishy"
"Row244","legitimate"
"Row245","phishy"
"Row246","legitimate"
"Row247","phishy"
"Row248","phishy"
"Row249","phishy"
"Row250","suspect"
"Row251","phishy"
"Row252","legitimate"
"Row253","phishy"
"Row254","legitimate"
"Row255","legitimate"
"Row256","phishy"
"Row257","phishy"
"Row258","phishy"
"Row259","legitimate"
"Row260","suspect"
"Row261","suspect"
"Row262","legitimate"
"Row263","phishy"
"Row264","phishy"
"Row265","phishy"
"Row266","phishy"
"Row267","legitimate"
"Row268","suspect"
"Row269","legitimate"
"Row270","phishy"
